,Faculty of MASSCOM and FSSR,Fakulti Sains Komputer & Matematik 1,Fakulti Sains Komputer & Matematik 2,Kolej Melati,Kolej Mawar ,Block B Faculty Of Applied Sciences,Kolej Seroja,Block C Faculty Of Applied Sciences,Kolej Delima 1,Kolej Delima 3,Kolej Delima 2 (Pusat Kokurikulum),Faculty of Art and Design,Perpustakaan Tun Abdul Razak 1,Taska UiTM Shah Alam,Dewan Platinum Kolej Melati,Dewan Mawar Qaseh,Unit Bengkel Kenderaan UiTM Shah Alam,"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",Akademi Pengajian Bahasa,Pintu Seksyen 2,Dataran Cendekiawan,Kolej Anggerik,Makmal Fakulti Kejuruteraan Kimia,Kompleks Kolam Renang UiTM Shah Alam,Fakulti Undang-Undang,Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,Parking Canseleri,Canseleri Tuanku Syed Sirajuddin,Kompleks Kejuruteraan Elektrikal,Fakulti Kejuruteraan Kimia,Hotel UiTM Shah Alam,Kompleks Sukan UiTM Shah Alam,Kolej Perindu,Pusat Kokurikulum,Ibu Pejabat Polis Bantuan UiTM,Kolej Teratai 2,kolej Teratai,Kolej Teratai 3,Kolej Delima 2 (PB),UiTM Facilities Center,Faculty of Civil Engineering,Dewan Sri Budiman,Dewan Annexe,Menara Sultan Abdul Aziz Shah,Bahagian Pembangunan Organisasi,Jabatan Sain Ukur dan Geomatik,DKB,Block A Faculty of Applied Science,Block A Faculty Of Applied Sciences,DK Beta,DK Alfa,DK Delta,DK Gamma & DK Bestari,Block F Faculty Of Applied Sciences,irmi,Malaysian Institut Transport,MITRAN,National Design Centre,Budisiswa,Bangunan HEP,Faculty of Business,"Instititut Leadership, Quality",Ayub Arshad Graduate Business School,Gym Sport Recreation,Dewan Agung Tuanku Canselor,MTDC,Surau FSPU,AB1,AB3,AB2,Kafeteria Kolej Anggerik,Mamakteria Cafe,Pusat Kesihatan UiTM Shah Alam,Non Resident Office,Security Office,Register Office,Pos Polis Bantuan,Stor Sukan,Institut Pengajian Siswazah
Faculty of MASSCOM and FSSR,0,0.330356704,0.333947881,0.888755876,1.098254924,1.235475403,1.270069689,1.266804616,0.723201369,0.924230011,0.932976631,2.082712822,1.52268652,0.465267426,0.639885011,0.965439168,0.953824729,0.966283905,1.396957766,0.804466478,0.752376975,1.687411103,1.180485718,0.565042263,1.491665346,0.8182184,1.023011084,0.92179415,0.413037037,0.473826454,1.549449623,0.99516558,1.097862307,0.924230011,0.741746655,0.722658943,0.494765033,0.741746655,0.457827232,0.553980141,0.707516127,1.669637629,1.724985102,1.777786703,1.67721523,1.234449026,1.777786703,1.31539348,1.392569561,1.31539348,1.31539348,1.229063095,1.249475728,1.055173895,1.175690396,1.234449026,1.234449026,2.082712822,1.540307302,1.619663761,1.356590112,1.299028688,1.483326293,1.372255273,1.410163874,1.586176548,1.767339897,1.693569112,1.693569112,1.693569112,1.563723117,1.231148473,1.194405761,0.675135413,1.375113779,1.495319533,1.385753395,1.175690396,1.570133547
Fakulti Sains Komputer & Matematik 1,0.330356704,0,0.32631354,0.613831027,0.804148777,1.080011969,1.114606255,1.111341181,0.395137008,0.59616565,0.604912269,1.927249387,1.367223085,0.137203064,0.31182065,0.637374806,0.808704429,0.821163605,1.087845595,0.743858896,0.424312613,1.359346742,0.852421357,0.236977901,1.336201911,0.662754965,0.962403502,0.861186568,0.417102653,0.495827263,1.395503803,0.667101218,0.942398872,0.59616565,0.413682293,0.394594581,0.166700671,0.413682293,0.129762871,0.398516706,0.704556391,1.514174194,1.569521667,1.622323268,1.521751795,1.078985591,1.622323268,1.159930045,1.237106126,1.159930045,1.159930045,1.073599661,1.094012293,0.899710461,1.020226962,1.078985591,1.078985591,1.927249387,1.384843867,1.464200327,1.201126677,1.143565253,1.327862859,1.216791838,1.25470044,1.258112186,1.448789069,1.36550475,1.36550475,1.36550475,1.235658755,1.067880356,0.949085426,0.347071051,1.047049417,1.339856098,1.094957077,1.020226962,1.414670112
Fakulti Sains Komputer & Matematik 2,0.333947881,0.32631354,0,0.771235699,0.980734746,1.308123785,1.342718071,1.339452997,0.719158205,0.920186847,0.928933466,2.155361203,1.595334901,0.461224261,0.635841847,0.949976562,0.836304551,0.848763727,1.279437588,0.87711486,0.665097527,1.570441722,1.165023113,0.560999098,1.564313728,0.890866781,1.095659466,0.994442532,0.277581666,0.356306276,1.622098004,0.991122416,1.170510689,0.920186847,0.73770349,0.707196337,0.490721868,0.73770349,0.453784068,0.626628523,0.589995949,1.742286011,1.797633484,1.850435084,1.749863612,1.307097408,1.850435084,1.388041862,1.465217942,1.388041862,1.388041862,1.301711477,1.322124109,1.127822277,1.248338778,1.307097408,1.307097408,2.155361203,1.612955683,1.692312143,1.429238494,1.37167707,1.555974675,1.444903654,1.482812256,1.582133383,1.649819719,1.57659973,1.57659973,1.57659973,1.446753735,1.113628295,1.076885584,0.671092248,1.371070614,1.567967915,1.268233217,1.248338778,1.642781929
Kolej Melati,0.888755876,0.613831027,0.771235699,0,0.686542388,1.370472312,1.481579256,1.401801524,0.857483028,0.611663577,0.620410196,2.294222389,1.53015242,0.599549084,0.302010377,0.526216749,0.550982721,0.563441897,0.976687538,1.206204915,0.241337714,1.248188685,0.7412633,0.699323921,1.499131246,1.125100985,1.424749522,1.323532588,0.662865231,0.685671267,1.762476805,0.682599145,0.982372206,0.611663577,0.403872021,0.283436524,0.629046691,0.403872021,0.484068156,0.860862726,0.43820125,1.771457039,1.826804512,1.98929627,1.888724797,1.369445934,1.98929627,1.450390388,1.527566469,1.450390388,1.450390388,1.364060004,1.384472636,1.190170804,1.310687305,1.369445934,1.369445934,2.294222389,1.547773202,1.627129662,1.364056013,1.306494588,1.490792194,1.256765171,1.294673773,1.273610113,1.337631012,1.254346693,1.254346693,1.254346693,1.124500698,0.828306465,0.782693226,0.337260779,1.062547344,1.7068291,0.980144416,1.310687305,1.480821325
Kolej Mawar ,1.098254924,0.804148777,0.980734746,0.686542388,0,1.518751887,1.629858832,1.550081099,1.046918935,0.759943152,0.768689771,2.442501964,1.678431995,0.789866834,0.492328127,0.353674255,0.197057203,0.420578174,0.538601736,1.396522665,0.451653006,0.82960587,0.331261427,0.888759829,1.647410822,1.315418734,1.615067272,1.513850337,0.872364279,0.895170315,1.91075638,0.830878721,1.130651781,0.759943152,0.57971946,0.409554195,0.818482599,0.57971946,0.674385906,1.051180476,0.58911548,1.919736614,1.975084087,2.137575845,2.037004372,1.517725509,2.137575845,1.598669964,1.675846044,1.598669964,1.598669964,1.512339579,1.532752211,1.338450379,1.45896688,1.517725509,1.517725509,2.442501964,1.696052777,1.775409237,1.512335588,1.454774164,1.639071769,1.405044747,1.442953348,1.129544924,0.908983867,0.835763878,0.835763878,0.835763878,0.705917883,0.38411035,0.329946174,0.513108218,1.122461919,1.855108675,0.527397365,1.45896688,1.6291009
Block B Faculty Of Applied Sciences,1.235475403,1.080011969,1.308123785,1.370472312,1.518751887,0,0.605341139,0.031329212,1.323663969,1.054811669,0.750062116,1.342536144,0.425872468,1.022077907,1.068461934,1.351977917,1.530179027,1.542638204,1.779976316,1.10151607,1.166374756,1.672972041,1.567024467,1.165504863,0.394851295,0.417257004,1.460360571,1.359143636,1.398912899,1.465344967,0.878970889,1.171014976,0.416385278,1.054811669,1.099822775,1.124275946,1.095227633,1.099822775,1.058289832,0.705076532,1.461197676,0.667177087,0.72252456,1.080169883,0.97959841,0.456657457,1.080169883,0.079918077,0.245317312,0.079918077,0.079918077,0.033634395,0.014000324,0.277382327,0.397898828,0.456657457,0.456657457,1.342536144,0.44349325,0.52284971,0.259776061,0.202214637,0.386512242,0.690778243,0.728686845,1.339697476,1.57778246,1.679130049,1.679130049,1.679130049,1.549284054,1.782483466,1.663688536,1.033211533,1.106936966,0.824771927,1.809560188,0.397898828,0.473319496
Kolej Seroja,1.270069689,1.114606255,1.342718071,1.481579256,1.629858832,0.605341139,0,0.636670351,1.358258255,1.165918614,0.86116906,0.967113865,0.654210153,1.056672193,1.179568879,1.463084861,1.641285972,1.653745148,1.91355565,0.648246083,1.277481701,1.898966723,1.678131412,1.200099149,0.861531081,0.45185129,1.108159055,1.006942121,1.433507184,1.499939253,0.425700903,1.28212192,0.64237996,1.165918614,1.210929719,1.23538289,1.129821919,1.210929719,1.092884118,0.739670818,1.57230462,0.554038672,0.609386145,0.662187746,0.561616273,0.370983145,0.662187746,0.685259215,0.762435296,0.685259215,0.685259215,0.598928831,0.619341463,0.394275653,0.207442311,0.370983145,0.370983145,0.967113865,0.671830935,0.913821426,0.726455848,0.668894423,0.853192029,0.916772926,0.954681527,1.565692159,1.803777143,1.905124732,1.905124732,1.905124732,1.775278737,1.893590411,1.77479548,1.144318477,1.332931649,0.379720576,1.920667132,0.207442311,0.939999283
Block C Faculty Of Applied Sciences,1.266804616,1.111341181,1.339452997,1.401801524,1.550081099,0.031329212,0.636670351,0,1.354993182,1.086140882,0.781391328,1.373865357,0.45720168,1.053407119,1.099791147,1.383307129,1.56150824,1.573967416,1.811305528,1.132845282,1.197703968,1.704301253,1.598353679,1.196834075,0.426180507,0.448586216,1.491689783,1.390472848,1.430242111,1.496674179,0.910300101,1.202344188,0.44771449,1.086140882,1.131151987,1.155605158,1.126556845,1.131151987,1.089619044,0.736405744,1.492526888,0.698506299,0.753853772,1.111499095,1.010927622,0.487986669,1.111499095,0.048588864,0.276646524,0.048588864,0.048588864,0.064963608,0.045329536,0.308711539,0.42922804,0.487986669,0.487986669,1.373865357,0.474822462,0.554178922,0.291105273,0.233543849,0.417841454,0.722107455,0.760016057,1.371026688,1.609111672,1.710459261,1.710459261,1.710459261,1.580613266,1.813812678,1.695017748,1.064540745,1.138266178,0.856101139,1.8408894,0.42922804,0.504648708
Kolej Delima 1,0.723201369,0.395137008,0.719158205,0.857483028,1.046918935,1.323663969,1.358258255,1.354993182,0,0.787921994,0.796668614,2.170901388,1.610875086,0.380855065,0.55547265,0.880144965,1.052356429,1.064815606,1.330615754,0.987510896,0.667964614,1.6021169,1.095191515,0.160127161,1.579853912,0.906406966,1.206055503,1.104838569,0.809947318,0.888671928,1.639155803,0.858857563,1.158630623,0.787921994,0.627989823,0.638246582,0.228436337,0.627989823,0.373414871,0.642168707,0.948208392,1.757826195,1.813173668,1.865975269,1.765403796,1.322637592,1.865975269,1.403582046,1.480758127,1.403582046,1.403582046,1.317251661,1.337664294,1.143362461,1.263878962,1.322637592,1.322637592,2.170901388,1.628495868,1.707852327,1.444778678,1.387217254,1.571514859,1.433023589,1.470932191,1.44986853,1.646351339,1.608274909,1.608274909,1.608274909,1.478428914,1.310650514,1.191855584,0.561378581,1.238805762,1.583508099,1.337727236,1.263878962,1.657079742
Kolej Delima 3,0.924230011,0.59616565,0.920186847,0.611663577,0.759943152,1.054811669,1.165918614,1.086140882,0.787921994,0,0.304749554,1.978561746,1.214491778,0.581883707,0.309653199,0.593169182,0.771370292,0.783829469,1.04363997,1.188539538,0.407566021,1.249621859,0.808215732,0.629762888,1.183470604,0.863580997,1.407084145,1.30586721,0.927052922,0.949858958,1.446816162,0.412206241,0.666711563,0,0.34101404,0.365467211,0.559485658,0.34101404,0.491710978,0.843197349,0.702388941,1.455796397,1.51114387,1.673635627,1.573064155,1.053785292,1.673635627,1.134729746,1.211905827,1.134729746,1.134729746,1.048399361,1.068811993,0.874510161,0.995026662,1.053785292,1.053785292,1.978561746,1.23211256,1.311469019,1.04839537,0.990833946,1.175131551,0.941104529,0.979013131,0.957949471,1.154432279,1.255779868,1.255779868,1.255779868,1.125933873,1.023674731,0.904879801,0.274402798,0.746886702,1.391168457,1.050751453,0.995026662,1.165160682
Kolej Delima 2 (Pusat Kokurikulum),0.932976631,0.604912269,0.928933466,0.620410196,0.768689771,0.750062116,0.86116906,0.781391328,0.796668614,0.304749554,0,1.673812193,0.909742224,0.590630326,0.318399819,0.601915801,0.780116912,0.792576088,1.05238659,1.197286157,0.41631264,1.163717742,0.816962351,0.638509507,0.87872105,0.558831443,1.415830764,1.31461383,0.935799541,0.958605578,1.142066608,0.42095286,0.36196201,0.304749554,0.349760659,0.37421383,0.568232277,0.349760659,0.500457598,0.838969832,0.71113556,1.151046843,1.206394316,1.368886074,1.268314601,0.749035738,1.368886074,0.829980192,0.907156273,0.829980192,0.829980192,0.743649808,0.76406244,0.569760608,0.690277109,0.749035738,0.749035738,1.673812193,0.927363006,1.006719466,0.743645817,0.686084392,0.870381998,0.636354975,0.674263577,0.872045353,1.068528162,1.16987575,1.16987575,1.16987575,1.040029755,1.032421351,0.91362642,0.283149417,0.660982584,1.086418904,1.059498072,0.690277109,0.860411129
Faculty of Art and Design,2.082712822,1.927249387,2.155361203,2.294222389,2.442501964,1.342536144,0.967113865,1.373865357,2.170901388,1.978561746,1.673812193,0,0.916663676,1.869315325,1.992212011,2.275727994,2.453929104,2.466388281,2.726198782,1.401163031,2.090124833,2.711609856,2.490774544,2.012742281,1.217835317,1.264494422,1.861076004,1.759859069,2.246150317,2.312582385,1.141931516,2.094765053,1.455023093,1.978561746,2.023572852,2.048026023,1.942465051,2.023572852,1.90552725,1.55231395,2.384947753,0.816492195,0.871839668,0.967201126,0.866629654,1.177807222,0.967201126,1.422454221,1.499630302,1.422454221,1.422454221,1.336123836,1.356536468,1.20109973,1.014266388,1.177807222,1.177807222,0,0.934284458,1.176274949,1.082760084,1.140321508,1.324619113,1.729416058,1.76732466,2.378335291,2.616420275,2.717767864,2.717767864,2.717767864,2.587921869,2.706233543,2.587438613,1.95696161,2.145574781,1.053532944,2.733310265,1.014266388,1.521378109
Perpustakaan Tun Abdul Razak 1,1.52268652,1.367223085,1.595334901,1.53015242,1.678431995,0.425872468,0.654210153,0.45720168,1.610875086,1.214491778,0.909742224,0.916663676,0,1.309289023,1.228142043,1.511658025,1.689859136,1.702318312,1.911371253,1.08825932,1.326054864,1.804366977,1.726704575,1.452715979,0.301171641,0.70446812,1.548172292,1.446955358,1.686124015,1.752556083,0.829027804,1.330695084,0.547780214,1.214491778,1.259502883,1.283956054,1.382438749,1.259502883,1.345500948,0.992287648,1.620877784,0.241304619,0.296652092,0.654297415,0.553725942,0.743868573,0.654297415,0.505790545,0.582966626,0.505790545,0.505790545,0.41946016,0.439872792,0.564593443,0.685109944,0.743868573,0.743868573,0.916663676,0.017620782,0.259611273,0.166096407,0.223657832,0.407955437,0.82217318,0.860081781,1.471092413,1.709177397,1.810524986,1.810524986,1.810524986,1.680678991,1.942163575,1.823368644,1.192891641,1.238331903,0.740629232,1.969240296,0.685109944,0.604714432
Taska UiTM Shah Alam,0.465267426,0.137203064,0.461224261,0.599549084,0.789866834,1.022077907,1.056672193,1.053407119,0.380855065,0.581883707,0.590630326,1.869315325,1.309289023,0,0.297538707,0.623092863,0.794422486,0.806881662,1.073563652,0.685924834,0.41003067,1.345064799,0.838139414,0.222695958,1.278267849,0.604820903,0.90446944,0.803252506,0.552013375,0.630737984,1.337569741,0.652819275,0.88446481,0.581883707,0.39940035,0.380312638,0.152418728,0.39940035,0.115480928,0.340582645,0.690274448,1.456240132,1.511587605,1.564389206,1.463817733,1.021051529,1.564389206,1.101995983,1.179172064,1.101995983,1.101995983,1.015665599,1.036078231,0.841776399,0.9622929,1.021051529,1.021051529,1.869315325,1.326909805,1.406266265,1.143192616,1.085631191,1.269928797,1.158857776,1.196766378,1.243830243,1.434507126,1.351222807,1.351222807,1.351222807,1.221376812,1.053598413,0.934803483,0.332789108,1.032767474,1.281922036,1.080675134,0.9622929,1.356736051
Dewan Platinum Kolej Melati,0.639885011,0.31182065,0.635841847,0.302010377,0.492328127,1.068461934,1.179568879,1.099791147,0.55547265,0.309653199,0.318399819,1.992212011,1.228142043,0.297538707,0,0.325554157,0.496883779,0.509342955,0.776024946,0.904194538,0.112491964,1.047526092,0.540600707,0.397313544,1.197120869,0.823090607,1.122739145,1.02152221,0.617399723,0.640205759,1.460466427,0.380588768,0.680361828,0.309653199,0.101861644,0.082773932,0.327036314,0.101861644,0.182057779,0.558852349,0.392735741,1.469446662,1.524794135,1.687285892,1.58671442,1.067435557,1.687285892,1.148380011,1.225556092,1.148380011,1.148380011,1.062049626,1.082462258,0.888160426,1.008676927,1.067435557,1.067435557,1.992212011,1.245762825,1.325119284,1.062045635,1.004484211,1.188781816,0.954754794,0.992663396,0.971599736,1.13696842,1.053684101,1.053684101,1.053684101,0.923838106,0.756059706,0.637264776,0.035250402,0.760536967,1.404818722,0.783136428,1.008676927,1.178810947
Dewan Mawar Qaseh,0.965439168,0.637374806,0.949976562,0.526216749,0.353674255,1.351977917,1.463084861,1.383307129,0.880144965,0.593169182,0.601915801,2.275727994,1.511658025,0.623092863,0.325554157,0,0.453737432,0.613664838,0.637371074,1.229748695,0.284879035,0.90887222,0.401946836,0.721985858,1.480636851,1.148644764,1.448293301,1.347076367,0.841606095,0.864412131,1.743982409,0.66410475,0.963877811,0.593169182,0.412945489,0.242780225,0.651708628,0.412945489,0.507611936,0.884406506,0.565477548,1.752962644,1.808310117,1.970801875,1.870230402,1.350951539,1.970801875,1.431895993,1.509072074,1.431895993,1.431895993,1.345565609,1.365978241,1.171676409,1.29219291,1.350951539,1.350951539,2.275727994,1.529278807,1.608635267,1.345561617,1.288000193,1.472297799,1.238270776,1.276179378,1.218875605,0.998314548,0.915030229,0.915030229,0.915030229,0.785184234,0.617405835,0.498610904,0.346334247,1.044052949,1.688334705,0.644482556,1.29219291,1.46232693
Unit Bengkel Kenderaan UiTM Shah Alam,0.953824729,0.808704429,0.836304551,0.550982721,0.197057203,1.530179027,1.641285972,1.56150824,1.052356429,0.771370292,0.780116912,2.453929104,1.689859136,0.794422486,0.496883779,0.453737432,0,0.27143401,0.491046076,1.401078317,0.384428925,0.78205021,0.389872109,0.894197323,1.658837962,1.319974386,1.619622924,1.518405989,0.727934083,0.75074012,1.92218352,0.842305861,1.142078922,0.771370292,0.5911466,0.414109847,0.823920093,0.5911466,0.678941558,1.055736128,0.444685284,1.931163755,1.986511228,2.149002985,2.048431513,1.52915265,2.149002985,1.610097104,1.687273185,1.610097104,1.610097104,1.523766719,1.544179352,1.349877519,1.47039402,1.52915265,1.52915265,2.453929104,1.707479918,1.786836377,1.523762728,1.466201304,1.650498909,1.416471887,1.454380489,1.081989265,0.861428208,0.788208219,0.788208219,0.788208219,0.658362224,0.277323744,0.29320804,0.524535358,1.07490626,1.866535816,0.479841706,1.47039402,1.64052804
"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",0.966283905,0.821163605,0.848763727,0.563441897,0.420578174,1.542638204,1.653745148,1.573967416,1.064815606,0.783829469,0.792576088,2.466388281,1.702318312,0.806881662,0.509342955,0.613664838,0.27143401,0,0.714567047,1.413537493,0.396888102,1.005571181,0.61339308,0.906656499,1.671297138,1.332433563,1.6320821,1.530865166,0.74039326,0.763199296,1.934642697,0.854765037,1.154538098,0.783829469,0.603605777,0.426569024,0.836379269,0.603605777,0.691400734,1.068195304,0.457144461,1.943622931,1.998970404,2.161462162,2.060890689,1.541611826,2.161462162,1.62255628,1.699732361,1.62255628,1.62255628,1.536225896,1.556638528,1.362336696,1.482853197,1.541611826,1.541611826,2.466388281,1.719939094,1.799295554,1.536221905,1.47866048,1.662958086,1.428931063,1.466839665,1.305510236,1.084949179,1.01172919,1.01172919,1.01172919,0.881883195,0.548757754,0.516729011,0.536994534,1.234713236,1.878994992,0.703362676,1.482853197,1.652987217
Akademi Pengajian Bahasa,1.396957766,1.087845595,1.279437588,0.976687538,0.538601736,1.779976316,1.91355565,1.811305528,1.330615754,1.04363997,1.05238659,2.726198782,1.911371253,1.073563652,0.776024946,0.637371074,0.491046076,0.714567047,0,1.680219484,0.735349824,0.425077997,0.235424238,1.172456647,1.880350079,1.599115553,1.89876409,1.797547156,1.17106712,1.193873157,2.194453198,1.114575539,1.363591039,1.04363997,0.863416278,0.693251014,1.102179417,0.863416278,0.958082725,1.334877294,0.887818322,2.152675872,2.208023345,2.421272663,2.320701191,1.801422328,2.421272663,1.859894393,1.937070474,1.859894393,1.859894393,1.773564008,1.79397664,1.622147197,1.742663698,1.801422328,1.801422328,2.726198782,1.928992035,2.008348495,1.745274846,1.687713421,1.872011027,1.089198073,1.35490448,0.725017052,0.504455995,0.431236006,0.431236006,0.431236006,0.301390011,0.251843046,0.262161083,0.796805036,0.717934047,2.138805494,0.101025563,1.742663698,1.318962558
Pintu Seksyen 2,0.804466478,0.743858896,0.87711486,1.206204915,1.396522665,1.10151607,0.648246083,1.132845282,0.987510896,1.188539538,1.197286157,1.401163031,1.08825932,0.685924834,0.904194538,1.229748695,1.401078317,1.413537493,1.680219484,0,1.016686502,1.95172063,1.444795245,0.82935179,1.357706012,0.82455896,0.480338786,0.379121852,0.967903973,1.034336041,0.765408958,1.259475107,1.104202868,1.188539538,1.006056182,0.98696847,0.75907456,1.006056182,0.722136759,0.560320702,1.268025715,0.988087838,1.043435312,1.096236912,0.995665439,0.867158076,1.096236912,1.181434146,1.258610227,1.181434146,1.181434146,1.095103761,1.115516394,0.890450584,0.703617242,0.867158076,0.867158076,1.401163031,1.105880102,1.347870593,1.222630778,1.165069354,1.349366959,1.378595833,1.416504435,1.850486074,2.041162958,1.957878639,1.957878639,1.957878639,1.828032644,1.660254244,1.541459314,0.93944494,1.639423306,0.843670114,1.687330966,0.703617242,1.436174213
Dataran Cendekiawan,0.752376975,0.424312613,0.665097527,0.241337714,0.451653006,1.166374756,1.277481701,1.197703968,0.667964614,0.407566021,0.41631264,2.090124833,1.326054864,0.41003067,0.112491964,0.284879035,0.384428925,0.396888102,0.735349824,1.016686502,0,1.006850971,0.499925586,0.509805508,1.295033691,0.935582571,1.235231108,1.134014174,0.556727059,0.579533096,1.558379249,0.47850159,0.77827465,0.407566021,0.214353607,0.04209881,0.439528277,0.214353607,0.294549743,0.671344313,0.332063078,1.567359483,1.622706957,1.785198714,1.684627241,1.165348379,1.785198714,1.246292833,1.323468914,1.246292833,1.246292833,1.159962448,1.18037508,0.986073248,1.106589749,1.165348379,1.165348379,2.090124833,1.343675647,1.423032106,1.159958457,1.102397033,1.286694638,1.052667616,1.090576217,1.069512557,1.096293298,1.013008979,1.013008979,1.013008979,0.883162984,0.661752669,0.596589655,0.147742365,0.858449789,1.502731544,0.742461306,1.106589749,1.276723769
Kolej Anggerik,1.687411103,1.359346742,1.570441722,1.248188685,0.82960587,1.672972041,1.898966723,1.704301253,1.6021169,1.249621859,1.163717742,2.711609856,1.804366977,1.345064799,1.047526092,0.90887222,0.78205021,1.005571181,0.425077997,1.95172063,1.006850971,0,0.506925385,1.443957794,1.773345804,1.596629106,2.170265237,2.069048302,1.462071254,1.484877291,2.179864271,1.365825165,1.256586763,1.249621859,1.134917425,0.964752161,1.373680564,1.134917425,1.229583871,1.606378441,1.178822456,2.045671596,2.101019069,2.406683737,2.306112264,1.786833401,2.406683737,1.752890117,1.830066198,1.752890117,1.752890117,1.666559733,1.686972365,1.607558271,1.728074772,1.786833401,1.786833401,2.711609856,1.821987759,1.901344219,1.63827057,1.580709146,1.765006751,0.982193798,1.247900204,0.618012776,0.427258534,0.143288625,0.143288625,0.143288625,0.123687987,0.599295197,0.553165217,1.068306183,0.610929771,2.124216567,0.52610356,1.728074772,1.211958283
Makmal Fakulti Kejuruteraan Kimia,1.180485718,0.852421357,1.165023113,0.7412633,0.331261427,1.567024467,1.678131412,1.598353679,1.095191515,0.808215732,0.816962351,2.490774544,1.726704575,0.838139414,0.540600707,0.401946836,0.389872109,0.61339308,0.235424238,1.444795245,0.499925586,0.506925385,0,0.937032409,1.695683402,1.363691315,1.663339852,1.562122918,1.056652645,1.079458682,1.95902896,0.879151301,1.178924361,0.808215732,0.62799204,0.457826776,0.866755179,0.62799204,0.722658486,1.099453056,0.780524099,1.968009194,2.023356668,2.185848425,2.085276952,1.56599809,2.185848425,1.646942544,1.724118625,1.646942544,1.646942544,1.560612159,1.581024791,1.386722959,1.50723946,1.56599809,1.56599809,2.490774544,1.744325357,1.823681817,1.560608168,1.503046744,1.687344349,1.181109791,1.446816198,0.816928769,0.596367712,0.513083393,0.513083393,0.513083393,0.383237398,0.215458999,0.096664069,0.561380798,0.809845764,1.903381255,0.24253572,1.50723946,1.410874276
Kompleks Kolam Renang UiTM Shah Alam,0.565042263,0.236977901,0.560999098,0.699323921,0.888759829,1.165504863,1.200099149,1.196834075,0.160127161,0.629762888,0.638509507,2.012742281,1.452715979,0.222695958,0.397313544,0.721985858,0.894197323,0.906656499,1.172456647,0.82935179,0.509805508,1.443957794,0.937032409,0,1.421694805,0.748247859,1.047896396,0.946679462,0.651788212,0.730512821,1.480996697,0.700698456,1.000471517,0.629762888,0.469830716,0.480087476,0.07027723,0.469830716,0.215255765,0.484009601,0.790049285,1.599667088,1.655014562,1.707816162,1.607244689,1.164478485,1.707816162,1.245422939,1.32259902,1.245422939,1.245422939,1.159092555,1.179505187,0.985203355,1.105719856,1.164478485,1.164478485,2.012742281,1.470336761,1.549693221,1.286619572,1.229058147,1.413355753,1.274864482,1.312773084,1.291709424,1.488192232,1.450115802,1.450115802,1.450115802,1.320269807,1.152491408,1.033696477,0.403219474,1.080646655,1.425348992,1.179568129,1.105719856,1.498920636
