,Faculty of MASSCOM and FSSR,Fakulti Sains Komputer & Matematik 1,Fakulti Sains Komputer & Matematik 2,Kolej Melati,Kolej Mawar,Block B Faculty Of Applied Sciences,Kolej Seroja,Block C Faculty Of Applied Sciences,Kolej Delima 1,Kolej Delima 3,Kolej Delima 2 (Pusat Kokurikulum),Faculty of Art and Design,Perpustakaan Tun Abdul Razak 1,Taska UiTM Shah Alam,Dewan Platinum Kolej Melati,Dewan Mawar Qaseh,Unit Bengkel Kenderaan UiTM Shah Alam,"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",Akademi Pengajian Bahasa,Pintu Seksyen 2,Dataran Cendekiawan,Kolej Anggerik,Makmal Fakulti Kejuruteraan Kimia,Kompleks Kolam Renang UiTM Shah Alam,Fakulti Undang-Undang,Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,Parking Canseleri,Canseleri Tuanku Syed Sirajuddin,Kompleks Kejuruteraan Elektrikal,Fakulti Kejuruteraan Kimia,Kompleks Sukan UiTM Shah Alam,Kolej Perindu,Pusat Kokurikulum,Ibu Pejabat Polis Bantuan UiTM,Kolej Teratai 2,kolej Teratai,Kolej Teratai 3,Kolej Delima 2 (PB),UiTM Facilities Center,Faculty of Civil Engineering,Dewan Sri Budiman,Dewan Annexe,Menara Sultan Abdul Aziz Shah,Bahagian Pembangunan Organisasi,Jabatan Sain Ukur dan Geomatik,DKB,Block A Faculty of Applied Science,Block A Faculty Of Applied Sciences,DK Beta,DK Alfa,DK Delta,DK Gamma & DK Bestari,Block F Faculty Of Applied Sciences,irmi,Malaysian Institut Transport,MITRAN,National Design Centre,Budisiswa,Bangunan HEP,Faculty of Business,"Instititut Leadership, Quality",Ayub Arshad Graduate Business School,Gym Sport Recreation,Dewan Agung Tuanku Canselor,MTDC,Surau FSPU,AB1,AB3,AB2,Kafeteria Kolej Anggerik,Mamakteria Cafe,Pusat Kesihatan UiTM Shah Alam,Non Resident Office,Security Office,Register Office,Pos Polis Bantuan,Stor Sukan,Institut Pengajian Siswazah
DK Delta,1.69695,1.4407,1.69291,1.38438,1.67965,0.03363,0.61306,0.06496,1.56064,1.06872,0.76398,1.33612,0.41946,1.3546,1.08237,1.26932,1.54409,1.55655,1.77356,1.13817,1.18029,1.66656,1.90364,1.40248,0.38844,0.41084,1.58586,1.48465,1.69977,1.72258,1.18493,0.40997,1.06872,1.11374,1.13819,1.33221,1.11374,1.28955,0.69866,1.47511,0.66077,0.71813,1.07376,0.97319,0.45025,1.07376,0.11355,0.2389,0.11355,0.11355,0,0.04763,0.27097,0.39149,0.45025,0.45025,1.33612,0.43708,0.51644,0.25336,0.1958,0.3801,0.68436,0.72227,1.19091,1.57137,1.67272,1.67272,1.67272,1.54287,1.8629,1.7758,1.04712,1.10052,0.83504,1.88924,0.39149,0.46691
DK Gamma & DK Bestari,1.71736,1.46111,1.71332,1.4048,1.70006,0.014,0.63347,0.04533,1.58105,1.08914,0.78439,1.35654,0.43987,1.37502,1.10279,1.28973,1.5645,1.57696,1.79398,1.15858,1.2007,1.68697,1.92405,1.4229,0.40885,0.43126,1.60628,1.50506,1.72018,1.74299,1.20534,0.43038,1.08914,1.13415,1.1586,1.35262,1.13415,1.30996,0.71908,1.49552,0.68118,0.73854,1.09417,0.9936,0.47066,1.09417,0.09392,0.25932,0.09392,0.09392,0.04763,0,0.29138,0.4119,0.47066,0.47066,1.35654,0.45749,0.53685,0.27378,0.21621,0.40051,0.70478,0.74269,1.21133,1.59178,1.69313,1.69313,1.69313,1.56328,1.88331,1.79621,1.06754,1.12094,0.85545,1.90965,0.4119,0.48732
Block F Faculty Of Applied Sciences,1.52306,1.26681,1.51902,1.21049,1.50576,0.27738,0.41096,0.30871,1.38675,0.89483,0.59009,1.21778,0.56459,1.18072,0.90848,1.09543,1.3702,1.38266,1.73489,0.93352,1.0064,1.62788,1.72975,1.22859,0.53357,0.23695,1.38121,1.27999,1.52588,1.54869,1.01104,0.3713,0.89483,0.93985,0.9643,1.15832,0.93985,1.11566,0.52478,1.30122,0.80471,0.86207,0.91286,0.81229,0.24559,0.91286,0.3573,0.43448,0.3573,0.3573,0.27097,0.29138,0,0.18683,0.24559,0.24559,1.21778,0.58221,0.66157,0.3985,0.34094,0.52523,0.64569,0.6836,1.15224,1.53269,1.63404,1.63404,1.63404,1.50419,1.68901,1.60191,0.87323,1.06185,0.63039,1.79936,0.18683,0.61204
irmi,1.50989,1.38733,1.58254,1.33101,1.62628,0.3979,0.22412,0.42923,1.50727,1.01535,0.7106,1.03095,0.68511,1.30123,1.029,1.21595,1.49072,1.50317,1.8554,0.74668,1.12691,1.7484,1.85027,1.34911,0.65409,0.35747,1.19438,1.09316,1.6464,1.6692,1.13155,0.49181,1.01535,1.06036,1.08482,1.27883,1.06036,1.23618,0.64529,1.42174,0.61788,0.67524,0.72602,0.62545,0.16354,0.72602,0.47782,0.55499,0.47782,0.47782,0.39149,0.4119,0.18683,0,0.16354,0.16354,1.03095,0.70273,0.78209,0.51901,0.46145,0.64575,0.7662,0.80411,1.27275,1.65321,1.75456,1.75456,1.75456,1.62471,1.80953,1.72243,0.99375,1.18236,0.44356,1.91988,0,0.73256
Malaysian Institut Transport,1.67343,1.44609,1.6983,1.38977,1.68504,0.45666,0.38767,0.48799,1.56603,1.07411,0.76936,1.19449,0.74387,1.35999,1.08776,1.27471,1.54948,1.56193,1.91416,0.91023,1.18567,1.80716,1.90903,1.40787,0.71285,0.41623,1.35792,1.2567,1.70516,1.72796,1.19031,0.55057,1.07411,1.11912,1.14357,1.33759,1.11912,1.29494,0.70405,1.48049,0.78142,0.83878,0.88957,0.78899,0,0.88957,0.53658,0.61375,0.53658,0.53658,0.45025,0.47066,0.24559,0.16354,0,0,1.19449,0.76149,0.84085,0.57777,0.52021,0.70451,0.82496,0.86287,1.33151,1.71197,1.81331,1.81331,1.81331,1.68347,1.86829,1.78119,1.05251,1.24112,0.6071,1.97864,0.16354,0.79132
MITRAN,1.67343,1.44609,1.6983,1.38977,1.68504,0.45666,0.38767,0.48799,1.56603,1.07411,0.76936,1.19449,0.74387,1.35999,1.08776,1.27471,1.54948,1.56193,1.91416,0.91023,1.18567,1.80716,1.90903,1.40787,0.71285,0.41623,1.35792,1.2567,1.70516,1.72796,1.19031,0.55057,1.07411,1.11912,1.14357,1.33759,1.11912,1.29494,0.70405,1.48049,0.78142,0.83878,0.88957,0.78899,0,0.88957,0.53658,0.61375,0.53658,0.53658,0.45025,0.47066,0.24559,0.16354,0,0,1.19449,0.76149,0.84085,0.57777,0.52021,0.70451,0.82496,0.86287,1.33151,1.71197,1.81331,1.81331,1.81331,1.68347,1.86829,1.78119,1.05251,1.24112,0.6071,1.97864,0.16354,0.79132
National Design Centre,2.19075,2.17754,2.2634,2.31455,2.60981,1.34254,0.96711,1.37386,2.4908,1.99889,1.69414,0,0.91666,2.28477,2.01254,2.19948,2.47425,2.48671,2.82804,1.42754,2.11045,2.72103,2.8338,2.33265,1.21784,1.26449,1.87524,1.77402,2.35418,2.42062,2.11509,1.46444,1.99889,2.0439,2.06835,2.26237,2.0439,2.21971,1.55231,2.40527,0.81649,0.87386,0.9672,0.86663,1.19449,0.9672,1.42245,1.49963,1.42245,1.42245,1.33612,1.35654,1.21778,1.03095,1.19449,1.19449,0,0.93429,1.17628,1.08276,1.14032,1.32462,1.73884,1.77675,2.24539,2.62584,2.72719,2.72719,2.72719,2.59734,2.79306,2.70596,1.97729,2.155,1.05353,2.90342,1.03095,1.52138
Budisiswa,1.86034,1.60409,1.8563,1.54777,1.84304,0.44349,0.67183,0.47482,1.72403,1.23211,0.92736,0.93429,0.01762,1.51799,1.24576,1.43271,1.70748,1.71993,1.92899,1.13226,1.34367,1.82199,2.06703,1.56587,0.31879,0.72209,1.57996,1.47874,1.86316,1.88596,1.34831,0.5654,1.23211,1.27712,1.30158,1.49559,1.27712,1.45294,1.00991,1.6385,0.25893,0.31629,0.67192,0.57135,0.76149,0.67192,0.52341,0.60059,0.52341,0.52341,0.43708,0.45749,0.58221,0.70273,0.76149,0.76149,0.93429,0,0.27723,0.18372,0.24128,0.42558,0.83979,0.8777,1.34634,1.7268,1.82814,1.82814,1.82814,1.6983,2.02629,1.93919,1.21051,1.25595,0.75825,2.04467,0.70273,0.62234
Bangunan HEP,1.9397,1.68345,1.93565,1.62713,1.92239,0.52285,0.91382,0.55418,1.80339,1.31147,1.00672,1.17628,0.25961,1.59735,1.32512,1.51207,1.78683,1.79929,2.00835,1.37426,1.42303,1.90134,2.14639,1.64523,0.39815,0.80145,1.82195,1.72073,1.94252,1.96532,1.42767,0.64476,1.31147,1.35648,1.38093,1.57495,1.35648,1.5323,1.08927,1.71785,0.50092,0.55828,0.91391,0.81334,0.84085,0.91391,0.60277,0.67994,0.60277,0.60277,0.51644,0.53685,0.66157,0.78209,0.84085,0.84085,1.17628,0.27723,0,0.26307,0.32064,0.50493,0.91915,0.95706,1.4257,1.80615,1.9075,1.9075,1.9075,1.77765,2.10565,2.01854,1.28987,1.33531,1.00024,2.12403,0.78209,0.70169
Faculty of Business,1.67662,1.42037,1.67258,1.36405,1.65932,0.25977,0.74058,0.2911,1.54031,1.04839,0.74365,1.08276,0.1661,1.33428,1.06204,1.24899,1.52376,1.53622,1.74528,1.2657,1.15996,1.63827,1.88331,1.38215,0.13508,0.53837,1.71339,1.61217,1.67944,1.70225,1.1646,0.38168,1.04839,1.0934,1.11786,1.31188,1.0934,1.26922,0.82619,1.45478,0.4074,0.46477,0.8204,0.71982,0.57777,0.8204,0.33969,0.41687,0.33969,0.33969,0.25336,0.27378,0.3985,0.51901,0.57777,0.57777,1.08276,0.18372,0.26307,0,0.05756,0.24186,0.65608,0.69398,1.16263,1.54308,1.64443,1.64443,1.64443,1.51458,1.84257,1.75547,1.02679,1.07223,0.90673,1.86095,0.51901,0.43862
"Instititut Leadership, Quality",1.61906,1.36281,1.61502,1.30649,1.60176,0.20221,0.68302,0.23354,1.48275,0.99083,0.68608,1.14032,0.22366,1.27671,1.00448,1.19143,1.4662,1.47866,1.68772,1.20814,1.1024,1.58071,1.82575,1.32459,0.19264,0.48081,1.65583,1.55461,1.62188,1.64469,1.10704,0.32412,0.99083,1.03584,1.0603,1.25432,1.03584,1.21166,0.76863,1.39722,0.46496,0.52233,0.87796,0.77739,0.52021,0.87796,0.28213,0.35931,0.28213,0.28213,0.1958,0.21621,0.34094,0.46145,0.52021,0.52021,1.14032,0.24128,0.32064,0.05756,0,0.1843,0.59852,0.63642,1.10506,1.48552,1.58687,1.58687,1.58687,1.45702,1.78501,1.69791,0.96923,1.01467,0.90501,1.80339,0.46145,0.38106
Ayub Arshad Graduate Business School,1.80336,1.54711,1.79932,1.49079,1.78606,0.38651,0.86732,0.41784,1.66705,1.17513,0.87038,1.32462,0.40795,1.46101,1.18878,1.37573,1.6505,1.66295,1.87201,1.39244,1.28669,1.76501,2.01005,1.50889,0.37693,0.66511,1.84013,1.73891,1.80618,1.82898,1.29133,0.50842,1.17513,1.22014,1.24459,1.43861,1.22014,1.39596,0.95293,1.58151,0.64926,0.70663,1.06225,0.96168,0.70451,1.06225,0.46643,0.54361,0.46643,0.46643,0.3801,0.40051,0.52523,0.64575,0.70451,0.70451,1.32462,0.42558,0.50493,0.24186,0.1843,0,0.78281,0.82072,1.28936,1.66982,1.77116,1.77116,1.77116,1.64132,1.96931,1.88221,1.15353,1.19897,1.0893,1.98769,0.64575,0.56536
Gym Sport Recreation,1.56933,1.31308,1.56529,1.25676,1.49373,0.69078,0.9371,0.72211,1.43302,0.9411,0.63636,1.73884,0.82217,1.22699,0.95475,1.1417,1.41647,1.42893,1.0892,1.46692,1.05267,0.98219,1.34513,1.27486,0.79115,0.63476,1.91461,1.8134,1.57215,1.59496,1.05731,0.27439,0.9411,0.98612,1.01057,1.20459,0.98612,1.16193,0.92258,1.34749,1.06348,1.12084,1.44481,1.34424,0.82496,1.44481,0.7707,0.84787,0.7707,0.7707,0.68436,0.70478,0.64569,0.7662,0.82496,0.82496,1.73884,0.83979,0.91915,0.65608,0.59852,0.78281,0,0.26571,0.50655,0.887,0.98835,0.98835,0.98835,0.85851,1.27934,1.21729,0.9195,0.41616,1.16234,1.20488,0.7662,0.30387
Dewan Agung Tuanku Canselor,1.60724,1.35099,1.6032,1.29467,1.58994,0.72869,0.975,0.76002,1.47093,0.97901,0.67426,1.77675,0.86008,1.26489,0.99266,1.17961,1.45438,1.46684,1.35491,1.50483,1.09058,1.2479,1.61084,1.31277,0.82906,0.67267,1.95252,1.85131,1.61006,1.63287,1.09522,0.3123,0.97901,1.02402,1.04848,1.2425,1.02402,1.19984,0.96049,1.3854,1.10139,1.15875,1.48272,1.38215,0.86287,1.48272,0.8086,0.88578,0.8086,0.8086,0.72227,0.74269,0.6836,0.80411,0.86287,0.86287,1.77675,0.8777,0.95706,0.69398,0.63642,0.82072,0.26571,0,0.77226,1.15271,1.25406,1.25406,1.25406,1.12421,1.54505,1.483,0.95741,0.68186,1.20025,1.47058,0.80411,0.56958
MTDC,1.84553,1.79458,1.72802,1.43993,0.98718,1.19733,1.44364,1.22866,1.93957,1.44765,1.1429,2.24539,1.32872,1.70849,1.38583,1.22899,0.93963,1.16314,0.58265,1.97347,1.27337,0.47564,0.83858,1.78141,1.2977,1.14131,2.42116,2.31995,1.61964,1.64245,1.56386,0.78094,1.44765,1.48009,1.30306,1.71114,1.48009,1.59301,1.42913,1.3364,1.57003,1.62739,1.95136,1.85079,1.33151,1.95136,1.27724,1.35442,1.27724,1.27724,1.19091,1.21133,1.15224,1.27275,1.33151,1.33151,2.24539,1.34634,1.4257,1.16263,1.10506,1.28936,0.50655,0.77226,0,0.38046,0.4818,0.4818,0.4818,0.35196,0.77279,0.71074,1.41348,0.13528,1.66889,0.69833,1.27275,0.81042
Surau FSPU,1.76734,1.71639,1.64982,1.36174,0.90899,1.57778,1.8241,1.60911,1.8691,1.58212,1.52336,2.62584,1.70918,1.63029,1.30764,1.1508,0.86143,1.08495,0.50446,2.32785,1.19518,0.42726,0.76039,1.71094,1.67816,1.52176,2.55939,2.45817,1.54145,1.56426,1.65306,1.1614,1.58212,1.4019,1.22486,1.64066,1.4019,1.51481,1.80958,1.2582,1.95048,2.00785,2.33182,2.23125,1.71197,2.33182,1.6577,1.73488,1.6577,1.6577,1.57137,1.59178,1.53269,1.65321,1.71197,1.71197,2.62584,1.7268,1.80615,1.54308,1.48552,1.66982,0.887,1.15271,0.38046,0,0.43341,0.43341,0.43341,0.30357,0.6946,0.63255,1.33529,0.51574,2.04935,0.62013,1.65321,1.19087
AB1,1.69412,1.64317,1.5766,1.28852,0.83577,1.67913,1.92545,1.71046,1.79588,1.5089,1.51765,2.72719,1.81052,1.55707,1.23442,1.07758,0.78821,1.01173,0.43124,2.25463,1.12196,0.14329,0.68717,1.63772,1.7795,1.62311,2.48617,2.38495,1.46823,1.49104,1.57984,1.26274,1.5089,1.32868,1.15164,1.56744,1.32868,1.4416,1.91093,1.18498,2.05183,2.10919,2.43316,2.33259,1.81331,2.43316,1.75905,1.83622,1.75905,1.75905,1.67272,1.69313,1.63404,1.75456,1.81331,1.81331,2.72719,1.82814,1.9075,1.64443,1.58687,1.77116,0.98835,1.25406,0.4818,0.43341,0,0,0,0.12985,0.62138,0.55933,1.26207,0.61709,2.15069,0.54692,1.75456,1.29222
AB3,1.69412,1.64317,1.5766,1.28852,0.83577,1.67913,1.92545,1.71046,1.79588,1.5089,1.51765,2.72719,1.81052,1.55707,1.23442,1.07758,0.78821,1.01173,0.43124,2.25463,1.12196,0.14329,0.68717,1.63772,1.7795,1.62311,2.48617,2.38495,1.46823,1.49104,1.57984,1.26274,1.5089,1.32868,1.15164,1.56744,1.32868,1.4416,1.91093,1.18498,2.05183,2.10919,2.43316,2.33259,1.81331,2.43316,1.75905,1.83622,1.75905,1.75905,1.67272,1.69313,1.63404,1.75456,1.81331,1.81331,2.72719,1.82814,1.9075,1.64443,1.58687,1.77116,0.98835,1.25406,0.4818,0.43341,0,0,0,0.12985,0.62138,0.55933,1.26207,0.61709,2.15069,0.54692,1.75456,1.29222
AB2,1.69412,1.64317,1.5766,1.28852,0.83577,1.67913,1.92545,1.71046,1.79588,1.5089,1.51765,2.72719,1.81052,1.55707,1.23442,1.07758,0.78821,1.01173,0.43124,2.25463,1.12196,0.14329,0.68717,1.63772,1.7795,1.62311,2.48617,2.38495,1.46823,1.49104,1.57984,1.26274,1.5089,1.32868,1.15164,1.56744,1.32868,1.4416,1.91093,1.18498,2.05183,2.10919,2.43316,2.33259,1.81331,2.43316,1.75905,1.83622,1.75905,1.75905,1.67272,1.69313,1.63404,1.75456,1.81331,1.81331,2.72719,1.82814,1.9075,1.64443,1.58687,1.77116,0.98835,1.25406,0.4818,0.43341,0,0,0,0.12985,0.62138,0.55933,1.26207,0.61709,2.15069,0.54692,1.75456,1.29222
Kafeteria Kolej Anggerik,1.56428,1.51333,1.44676,1.15867,0.70592,1.54928,1.7956,1.58061,1.66603,1.37906,1.3878,2.59734,1.68068,1.42723,1.10457,0.94773,0.65837,0.88189,0.30139,2.12479,0.99212,0.12369,0.55733,1.50787,1.64966,1.49326,2.35632,2.2551,1.33839,1.36119,1.44999,1.1329,1.37906,1.19883,1.0218,1.4376,1.19883,1.31175,1.78108,1.05514,1.92198,1.97935,2.30332,2.20275,1.68347,2.30332,1.6292,1.70638,1.6292,1.6292,1.54287,1.56328,1.50419,1.62471,1.68347,1.68347,2.59734,1.6983,1.77765,1.51458,1.45702,1.64132,0.85851,1.12421,0.35196,0.30357,0.12985,0.12985,0.12985,0,0.49153,0.42948,1.13222,0.48724,2.02085,0.41707,1.62471,1.16237
Mamakteria Cafe,1.27264,1.22445,1.15512,0.8698,0.4256,1.86931,1.98042,1.90064,1.37716,1.09018,1.09893,2.79306,2.00867,1.13835,0.8157,0.65885,0.31881,0.59025,0.27578,1.83315,0.70324,0.61522,0.28813,1.219,1.97765,1.67808,2.06468,1.96346,1.04674,1.06955,1.16112,1.46089,1.09018,0.90996,0.73292,1.14872,0.90996,1.02287,1.9659,0.7635,2.24998,2.30734,2.48814,2.38757,1.86829,2.48814,1.94923,2.02641,1.94923,1.94923,1.8629,1.88331,1.68901,1.80953,1.86829,1.86829,2.79306,2.02629,2.10565,1.84257,1.78501,1.96931,1.27934,1.54505,0.77279,0.6946,0.62138,0.62138,0.62138,0.49153,0,0.16028,0.84335,0.90808,2.20567,0.23176,1.80953,1.58321
Pusat Kesihatan UiTM Shah Alam,1.1944,1.13735,1.07689,0.78269,0.32995,1.78221,1.89332,1.81354,1.29005,1.00308,1.01183,2.70596,1.92157,1.05125,0.72859,0.57175,0.29321,0.51673,0.28611,1.75492,0.61614,0.55317,0.14002,1.1319,1.89055,1.59098,1.98645,1.88523,0.96851,0.99132,1.07402,1.37379,1.00308,0.82286,0.64582,1.06162,0.82286,0.93577,1.8788,0.68527,2.16287,2.22024,2.40104,2.30046,1.78119,2.40104,1.86213,1.93931,1.86213,1.86213,1.7758,1.79621,1.60191,1.72243,1.78119,1.78119,2.70596,1.93919,2.01854,1.75547,1.69791,1.88221,1.21729,1.483,0.71074,0.63255,0.55933,0.55933,0.55933,0.42948,0.16028,0,0.75624,0.84603,2.11857,0.25096,1.72243,1.52116
Non Resident Office,0.69769,0.44144,0.69365,0.33726,0.66009,1.05354,1.16464,1.08486,0.56138,0.2744,0.28315,1.97729,1.19289,0.35534,0.03525,0.24977,0.52453,0.53699,0.98884,1.15859,0.14774,1.25591,0.88409,0.40322,1.16187,0.86231,1.39012,1.28891,0.65265,0.67545,0.34534,0.64511,0.2744,0.06661,0.11802,0.33294,0.06661,0.24243,1.15012,0.42798,1.4342,1.49156,1.67236,1.57179,1.05251,1.67236,1.13345,1.21063,1.13345,1.13345,1.04712,1.06754,0.87323,0.99375,1.05251,1.05251,1.97729,1.21051,1.28987,1.02679,0.96923,1.15353,0.9195,0.95741,1.41348,1.33529,1.26207,1.26207,1.26207,1.13222,0.84335,0.75624,0,1.33566,1.38989,0.9537,0.99375,1.14356
Security Office,1.98082,1.72924,1.8633,1.57521,1.12247,1.10694,1.35325,1.13826,1.84918,1.35726,1.05251,2.155,1.23833,1.64314,1.37091,1.36427,1.07491,1.29843,0.71794,1.88308,1.40866,0.61093,0.97387,1.69102,1.20731,1.05092,2.33077,2.22956,1.75493,1.77774,1.47346,0.69055,1.35726,1.40227,1.42673,1.62074,1.40227,1.57809,1.33874,1.47168,1.47964,1.537,1.86097,1.7604,1.24112,1.86097,1.18685,1.26403,1.18685,1.18685,1.10052,1.12094,1.06185,1.18236,1.24112,1.24112,2.155,1.25595,1.33531,1.07223,1.01467,1.19897,0.41616,0.68186,0.13528,0.51574,0.61709,0.61709,0.61709,0.48724,0.90808,0.84603,1.33566,0,1.5785,0.83361,1.18236,0.72003
Register Office,1.63325,1.62005,1.7059,1.72715,2.02242,0.84145,0.37972,0.87278,1.90341,1.41149,1.10674,1.05353,0.74063,1.69737,1.42514,1.61209,1.88686,1.89931,2.25154,0.87005,1.52305,2.14454,2.24641,1.74525,1.0418,0.6771,1.31774,1.21652,1.79669,1.86312,1.52769,0.88795,1.41149,1.4565,1.48095,1.67497,1.4565,1.63232,0.96492,1.81787,0.64046,0.69782,0.74861,0.64803,0.6071,0.74861,0.92137,0.99855,0.92137,0.92137,0.83504,0.85545,0.63039,0.44356,0.6071,0.6071,1.05353,0.75825,1.00024,0.90673,0.90501,1.0893,1.16234,1.20025,1.66889,2.04935,2.15069,2.15069,2.15069,2.02085,2.20567,2.11857,1.38989,1.5785,0,2.31602,0.44356,1.17612
Pos Polis Bantuan,1.38575,1.3348,1.26823,0.98015,0.5274,1.89565,2.09077,1.92698,1.48751,1.20053,1.20928,2.90342,2.02705,1.2487,0.92605,0.7692,0.47984,0.70336,0.12497,1.94626,0.81359,0.54076,0.3788,1.32935,1.99603,1.78843,2.1778,2.07658,1.15986,1.18267,1.27147,1.47927,1.20053,1.02031,0.84327,1.25907,1.02031,1.13322,2.07625,0.87661,2.26836,2.32572,2.59849,2.49792,1.97864,2.59849,1.97557,2.05275,1.97557,1.97557,1.88924,1.90965,1.79936,1.91988,1.97864,1.97864,2.90342,2.04467,2.12403,1.86095,1.80339,1.98769,1.20488,1.47058,0.69833,0.62013,0.54692,0.54692,0.54692,0.41707,0.23176,0.25096,0.9537,0.83361,2.31602,0,1.91988,1.50874
Stor Sukan,1.50989,1.38733,1.58254,1.33101,1.62628,0.3979,0.22412,0.42923,1.50727,1.01535,0.7106,1.03095,0.68511,1.30123,1.029,1.21595,1.49072,1.50317,1.8554,0.74668,1.12691,1.7484,1.85027,1.34911,0.65409,0.35747,1.19438,1.09316,1.6464,1.6692,1.13155,0.49181,1.01535,1.06036,1.08482,1.27883,1.06036,1.23618,0.64529,1.42174,0.61788,0.67524,0.72602,0.62545,0.16354,0.72602,0.47782,0.55499,0.47782,0.47782,0.39149,0.4119,0.18683,0,0.16354,0.16354,1.03095,0.70273,0.78209,0.51901,0.46145,0.64575,0.7662,0.80411,1.27275,1.65321,1.75456,1.75456,1.75456,1.62471,1.80953,1.72243,0.99375,1.18236,0.44356,1.91988,0,0.73256
Institut Pengajian Siswazah,1.79339,1.53714,1.78935,1.48082,1.77609,0.47332,0.95413,0.50465,1.65708,1.16516,0.86041,1.52138,0.60472,1.45104,1.17881,1.36576,1.64053,1.65299,1.39307,1.47924,1.27672,1.28606,1.649,1.49892,0.57369,0.75192,1.92694,1.82572,1.79621,1.81902,1.28136,0.49845,1.16516,1.21017,1.23463,1.42864,1.21017,1.38599,1.03974,1.57155,0.84602,0.90339,1.25902,1.15844,0.79132,1.25902,0.55324,0.63042,0.55324,0.55324,0.46691,0.48732,0.61204,0.73256,0.79132,0.79132,1.52138,0.62234,0.70169,0.43862,0.38106,0.56536,0.30387,0.56958,0.81042,1.19087,1.29222,1.29222,1.29222,1.16237,1.58321,1.52116,1.14356,0.72003,1.17612,1.50874,0.73256,0
